week,cryptocurrency,search_interest
2019-04-07,Bitcoin,13
2019-04-14,Bitcoin,11
2019-04-21,Bitcoin,12
2019-04-28,Bitcoin,11
2019-05-05,Bitcoin,14
2019-05-12,Bitcoin,23
2019-05-19,Bitcoin,17
2019-05-26,Bitcoin,19
2019-06-02,Bitcoin,15
2019-06-09,Bitcoin,15
2019-06-16,Bitcoin,20
2019-06-23,Bitcoin,31
2019-06-30,Bitcoin,21
2019-07-07,Bitcoin,20
2019-07-14,Bitcoin,21
2019-07-21,Bitcoin,16
2019-07-28,Bitcoin,15
2019-08-04,Bitcoin,18
2019-08-11,Bitcoin,17
2019-08-18,Bitcoin,15
2019-08-25,Bitcoin,14
2019-09-01,Bitcoin,14
2019-09-08,Bitcoin,12
2019-09-15,Bitcoin,11
2019-09-22,Bitcoin,14
2019-09-29,Bitcoin,12
2019-10-06,Bitcoin,12
2019-10-13,Bitcoin,11
2019-10-20,Bitcoin,13
2019-10-27,Bitcoin,13
2019-11-03,Bitcoin,11
2019-11-10,Bitcoin,11
2019-11-17,Bitcoin,12
2019-11-24,Bitcoin,13
2019-12-01,Bitcoin,11
2019-12-08,Bitcoin,10
2019-12-15,Bitcoin,12
2019-12-22,Bitcoin,11
2019-12-29,Bitcoin,11
2020-01-05,Bitcoin,13
2020-01-12,Bitcoin,13
2020-01-19,Bitcoin,12
2020-01-26,Bitcoin,13
2020-02-02,Bitcoin,13
2020-02-09,Bitcoin,16
2020-02-16,Bitcoin,13
2020-02-23,Bitcoin,14
2020-03-01,Bitcoin,14
2020-03-08,Bitcoin,24
2020-03-15,Bitcoin,24
2020-03-22,Bitcoin,18
2020-03-29,Bitcoin,16
2020-04-05,Bitcoin,16
2020-04-12,Bitcoin,15
2020-04-19,Bitcoin,15
2020-04-26,Bitcoin,20
2020-05-03,Bitcoin,22
2020-05-10,Bitcoin,25
2020-05-17,Bitcoin,18
2020-05-24,Bitcoin,16
2020-05-31,Bitcoin,16
2020-06-07,Bitcoin,14
2020-06-14,Bitcoin,13
2020-06-21,Bitcoin,13
2020-06-28,Bitcoin,13
2020-07-05,Bitcoin,13
2020-07-12,Bitcoin,14
2020-07-19,Bitcoin,13
2020-07-26,Bitcoin,20
2020-08-02,Bitcoin,21
2020-08-09,Bitcoin,17
2020-08-16,Bitcoin,16
2020-08-23,Bitcoin,14
2020-08-30,Bitcoin,15
2020-09-06,Bitcoin,14
2020-09-13,Bitcoin,13
2020-09-20,Bitcoin,11
2020-09-27,Bitcoin,11
2020-10-04,Bitcoin,11
2020-10-11,Bitcoin,12
2020-10-18,Bitcoin,16
2020-10-25,Bitcoin,18
2020-11-01,Bitcoin,19
2020-11-08,Bitcoin,20
2020-11-15,Bitcoin,27
2020-11-22,Bitcoin,31
2020-11-29,Bitcoin,25
2020-12-06,Bitcoin,21
2020-12-13,Bitcoin,33
2020-12-20,Bitcoin,35
2020-12-27,Bitcoin,52
2021-01-03,Bitcoin,86
2021-01-10,Bitcoin,83
2021-01-17,Bitcoin,50
2021-01-24,Bitcoin,49
2021-01-31,Bitcoin,42
2021-02-07,Bitcoin,76
2021-02-14,Bitcoin,76
2021-02-21,Bitcoin,81
2021-02-28,Bitcoin,52
2021-03-07,Bitcoin,52
2021-03-14,Bitcoin,52
2021-03-21,Bitcoin,45
2021-03-28,Bitcoin,45
2021-04-04,Bitcoin,40
2021-04-11,Bitcoin,53
2021-04-18,Bitcoin,68
2021-04-25,Bitcoin,49
2021-05-02,Bitcoin,43
2021-05-09,Bitcoin,58
2021-05-16,Bitcoin,100
2021-05-23,Bitcoin,68
2021-05-30,Bitcoin,49
2021-06-06,Bitcoin,53
2021-06-13,Bitcoin,39
2021-06-20,Bitcoin,50
2021-06-27,Bitcoin,35
2021-07-04,Bitcoin,30
2021-07-11,Bitcoin,28
2021-07-18,Bitcoin,33
2021-07-25,Bitcoin,38
2021-08-01,Bitcoin,33
2021-08-08,Bitcoin,35
2021-08-15,Bitcoin,32
2021-08-22,Bitcoin,32
2021-08-29,Bitcoin,27
2021-09-05,Bitcoin,38
2021-09-12,Bitcoin,27
2021-09-19,Bitcoin,32
2021-09-26,Bitcoin,28
2021-10-03,Bitcoin,32
2021-10-10,Bitcoin,36
2021-10-17,Bitcoin,45
2021-10-24,Bitcoin,37
2021-10-31,Bitcoin,32
2021-11-07,Bitcoin,37
2021-11-14,Bitcoin,36
2021-11-21,Bitcoin,35
2021-11-28,Bitcoin,35
2021-12-05,Bitcoin,39
2021-12-12,Bitcoin,34
2021-12-19,Bitcoin,32
2021-12-26,Bitcoin,29
2022-01-02,Bitcoin,41
2022-01-09,Bitcoin,37
2022-01-16,Bitcoin,40
2022-01-23,Bitcoin,53
2022-01-30,Bitcoin,38
2022-02-06,Bitcoin,38
2022-02-13,Bitcoin,31
2022-02-20,Bitcoin,41
2022-02-27,Bitcoin,36
2022-03-06,Bitcoin,31
2022-03-13,Bitcoin,29
2022-03-20,Bitcoin,26
2022-03-27,Bitcoin,30
2022-04-03,Bitcoin,26
2022-04-10,Bitcoin,25
2022-04-17,Bitcoin,22
2022-04-24,Bitcoin,23
2022-05-01,Bitcoin,24
2022-05-08,Bitcoin,54
2022-05-15,Bitcoin,38
2022-05-22,Bitcoin,29
2022-05-29,Bitcoin,27
2022-06-05,Bitcoin,24
2022-06-12,Bitcoin,63
2022-06-19,Bitcoin,50
2022-06-26,Bitcoin,37
2022-07-03,Bitcoin,33
2022-07-10,Bitcoin,30
2022-07-17,Bitcoin,31
2022-07-24,Bitcoin,26
2022-07-31,Bitcoin,24
2022-08-07,Bitcoin,22
2022-08-14,Bitcoin,23
2022-08-21,Bitcoin,22
2022-08-28,Bitcoin,22
2022-09-04,Bitcoin,22
2022-09-11,Bitcoin,21
2022-09-18,Bitcoin,23
2022-09-25,Bitcoin,21
2022-10-02,Bitcoin,19
2022-10-09,Bitcoin,18
2022-10-16,Bitcoin,16
2022-10-23,Bitcoin,18
2022-10-30,Bitcoin,18
2022-11-06,Bitcoin,33
2022-11-13,Bitcoin,30
2022-11-20,Bitcoin,23
2022-11-27,Bitcoin,21
2022-12-04,Bitcoin,18
2022-12-11,Bitcoin,19
2022-12-18,Bitcoin,18
2022-12-25,Bitcoin,18
2023-01-01,Bitcoin,18
2023-01-08,Bitcoin,20
2023-01-15,Bitcoin,24
2023-01-22,Bitcoin,22
2023-01-29,Bitcoin,21
2023-02-05,Bitcoin,18
2023-02-12,Bitcoin,19
2023-02-19,Bitcoin,19
2023-02-26,Bitcoin,18
2023-03-05,Bitcoin,18
2023-03-12,Bitcoin,27
2023-03-19,Bitcoin,26
2023-03-26,Bitcoin,24
2023-04-02,Bitcoin,21
2023-04-09,Bitcoin,25
2023-04-16,Bitcoin,22
2023-04-23,Bitcoin,21
2023-04-30,Bitcoin,19
2023-05-07,Bitcoin,19
2023-05-14,Bitcoin,16
2023-05-21,Bitcoin,16
2023-05-28,Bitcoin,17
2023-06-04,Bitcoin,19
2023-06-11,Bitcoin,19
2023-06-18,Bitcoin,21
2023-06-25,Bitcoin,20
2023-07-02,Bitcoin,19
2023-07-09,Bitcoin,20
2023-07-16,Bitcoin,19
2023-07-23,Bitcoin,17
2023-07-30,Bitcoin,17
2023-08-06,Bitcoin,17
2023-08-13,Bitcoin,19
2023-08-20,Bitcoin,18
2023-08-27,Bitcoin,19
2023-09-03,Bitcoin,17
2023-09-10,Bitcoin,16
2023-09-17,Bitcoin,16
2023-09-24,Bitcoin,15
2023-10-01,Bitcoin,16
2023-10-08,Bitcoin,15
2023-10-15,Bitcoin,18
2023-10-22,Bitcoin,26
2023-10-29,Bitcoin,21
2023-11-05,Bitcoin,23
2023-11-12,Bitcoin,21
2023-11-19,Bitcoin,20
2023-11-26,Bitcoin,20
2023-12-03,Bitcoin,30
2023-12-10,Bitcoin,24
2023-12-17,Bitcoin,24
2023-12-24,Bitcoin,22
2023-12-31,Bitcoin,29
2024-01-07,Bitcoin,41
2024-01-14,Bitcoin,25
2024-01-21,Bitcoin,23
2024-01-28,Bitcoin,19
2024-02-04,Bitcoin,20
2024-02-11,Bitcoin,29
2024-02-18,Bitcoin,22
2024-02-25,Bitcoin,42
2024-03-03,Bitcoin,50
2024-03-10,Bitcoin,50
2024-03-17,Bitcoin,38
2024-03-24,Bitcoin,32
2024-03-31,Bitcoin,30
2024-04-07,Bitcoin,30
