Date,Close,search_interest
2019-04-07,5198.896973,13
2019-04-14,5167.722168,11
2019-04-21,5314.53125,12
2019-04-28,5285.13916,11
2019-05-05,5795.708496,14
2019-05-12,6972.371582,23
2019-05-19,8197.689453,17
2019-05-26,8673.21582,19
2019-06-02,8742.958008,15
2019-06-09,7688.077148,15
2019-06-16,8994.488281,20
2019-06-23,10855.371094,31
2019-06-30,10817.155273,21
2019-07-07,11450.84668,20
2019-07-14,10256.058594,21
2019-07-21,10599.105469,16
2019-07-28,9552.860352,15
2019-08-04,10970.18457,18
2019-08-11,11523.579102,17
2019-08-18,10345.810547,15
2019-08-25,10138.517578,14
2019-09-01,9757.970703,14
2019-09-08,10441.276367,12
2019-09-15,10347.712891,11
2019-09-22,10070.392578,14
2019-09-29,8104.185547,12
2019-10-06,7988.155762,12
2019-10-13,8321.005859,11
2019-10-20,8222.078125,13
2019-10-27,9551.714844,13
2019-11-03,9235.354492,11
2019-11-10,9055.526367,11
2019-11-17,8577.975586,12
2019-11-24,7047.916992,13
2019-12-01,7424.29248,11
2019-12-08,7564.345215,10
2019-12-15,7152.301758,12
2019-12-22,7511.588867,11
2019-12-29,7422.652832,11
2020-01-05,7411.317383,13
2020-01-12,8192.494141,13
2020-01-19,8706.245117,12
2020-01-26,8596.830078,13
2020-02-02,9344.365234,13
2020-02-09,10116.673828,16
2020-02-16,9934.433594,13
2020-02-23,9924.515625,14
2020-03-01,8562.454102,14
2020-03-08,8108.116211,24
2020-03-15,5392.314941,24
2020-03-22,5830.254883,18
2020-03-29,5922.042969,16
2020-04-05,6791.129395,16
2020-04-12,6971.091797,15
2020-04-19,7189.424805,15
2020-04-26,7679.867188,20
2020-05-03,8897.46875,22
2020-05-10,8756.430664,25
2020-05-17,9670.739258,18
2020-05-24,8790.368164,16
2020-05-31,9461.058594,16
2020-06-07,9758.852539,14
2020-06-14,9386.788086,13
2020-06-21,9303.629883,13
2020-06-28,9143.582031,13
2020-07-05,9073.942383,13
2020-07-12,9276.5,14
2020-07-19,9185.817383,13
2020-07-26,9905.166992,20
2020-08-02,11053.614258,21
2020-08-09,11675.739258,17
2020-08-16,11892.803711,16
2020-08-23,11664.847656,14
2020-08-30,11711.505859,15
2020-09-06,10280.351563,14
2020-09-13,10323.755859,13
2020-09-20,10938.271484,11
2020-09-27,10775.269531,11
2020-10-04,10669.583008,11
2020-10-11,11384.181641,12
2020-10-18,11483.359375,16
2020-10-25,13031.173828,18
2020-11-01,13737.109375,19
2020-11-08,15479.567383,20
2020-11-15,15955.587891,27
2020-11-22,18370.001953,31
2020-11-29,18177.484375,25
2020-12-06,19345.121094,21
2020-12-13,19142.382813,33
2020-12-20,23477.294922,35
2020-12-27,26272.294922,52
2021-01-03,32782.023438,86
2021-01-10,38356.441406,83
2021-01-17,35791.277344,50
2021-01-24,32289.378906,49
2021-01-31,33114.359375,42
2021-02-07,38903.441406,76
2021-02-14,48717.289063,76
2021-02-21,57539.945313,81
2021-02-28,45137.769531,52
2021-03-07,51206.691406,52
2021-03-14,59302.316406,52
2021-03-21,57523.421875,45
2021-03-28,55950.746094,45
2021-04-04,58758.554688,40
2021-04-11,60204.964844,53
2021-04-18,56216.183594,68
2021-04-25,49004.253906,49
2021-05-02,56631.078125,43
2021-05-09,58232.316406,58
2021-05-16,46456.058594,100
2021-05-23,34770.582031,68
2021-05-30,35678.128906,49
2021-06-06,35862.378906,53
2021-06-13,39097.859375,39
2021-06-20,35698.296875,50
2021-06-27,34649.644531,35
2021-07-04,35287.78125,30
2021-07-11,34240.1875,28
