week,cryptocurrency,search_interest
2019-04-07,Ethereum,3
2019-04-14,Ethereum,3
2019-04-21,Ethereum,3
2019-04-28,Ethereum,3
2019-05-05,Ethereum,3
2019-05-12,Ethereum,7
2019-05-19,Ethereum,5
2019-05-26,Ethereum,5
2019-06-02,Ethereum,3
2019-06-09,Ethereum,3
2019-06-16,Ethereum,5
2019-06-23,Ethereum,7
2019-06-30,Ethereum,6
2019-07-07,Ethereum,10
2019-07-14,Ethereum,14
2019-07-21,Ethereum,3
2019-07-28,Ethereum,3
2019-08-04,Ethereum,3
2019-08-11,Ethereum,3
2019-08-18,Ethereum,3
2019-08-25,Ethereum,3
2019-09-01,Ethereum,3
2019-09-08,Ethereum,3
2019-09-15,Ethereum,3
2019-09-22,Ethereum,3
2019-09-29,Ethereum,2
2019-10-06,Ethereum,2
2019-10-13,Ethereum,2
2019-10-20,Ethereum,3
2019-10-27,Ethereum,2
2019-11-03,Ethereum,2
2019-11-10,Ethereum,2
2019-11-17,Ethereum,3
2019-11-24,Ethereum,3
2019-12-01,Ethereum,2
2019-12-08,Ethereum,2
2019-12-15,Ethereum,3
2019-12-22,Ethereum,3
2019-12-29,Ethereum,3
2020-01-05,Ethereum,3
2020-01-12,Ethereum,4
2020-01-19,Ethereum,3
2020-01-26,Ethereum,4
2020-02-02,Ethereum,5
2020-02-09,Ethereum,8
2020-02-16,Ethereum,6
2020-02-23,Ethereum,5
2020-03-01,Ethereum,4
2020-03-08,Ethereum,6
2020-03-15,Ethereum,5
2020-03-22,Ethereum,4
2020-03-29,Ethereum,4
2020-04-05,Ethereum,4
2020-04-12,Ethereum,4
2020-04-19,Ethereum,5
2020-04-26,Ethereum,7
2020-05-03,Ethereum,6
2020-05-10,Ethereum,6
2020-05-17,Ethereum,6
2020-05-24,Ethereum,5
2020-05-31,Ethereum,7
2020-06-07,Ethereum,6
2020-06-14,Ethereum,5
2020-06-21,Ethereum,5
2020-06-28,Ethereum,5
2020-07-05,Ethereum,6
2020-07-12,Ethereum,5
2020-07-19,Ethereum,8
2020-07-26,Ethereum,14
2020-08-02,Ethereum,14
2020-08-09,Ethereum,11
2020-08-16,Ethereum,10
2020-08-23,Ethereum,7
2020-08-30,Ethereum,11
2020-09-06,Ethereum,8
2020-09-13,Ethereum,7
2020-09-20,Ethereum,6
2020-09-27,Ethereum,5
2020-10-04,Ethereum,5
2020-10-11,Ethereum,5
2020-10-18,Ethereum,6
2020-10-25,Ethereum,6
2020-11-01,Ethereum,7
